Id;X;Y;Z;Type;Force value;Force angle
93;"-0,0404341";"0,00719665";0;None;null;null
94;"-0,0428992";"-0,00940483";0;None;null;null
31;"-0,0277778";"0,05";0;Force;50;"4,71238898"
32;"-0,0388889";"0,05";0;Force;50;"4,71238898"
33;"-0,05";"-0,05";0;Fixed;null;null
34;"-0,05";"0,0388889";0;None;null;null
35;"-0,05";"0,0277778";0;None;null;null
36;"-0,05";"0,0166667";0;None;null;null
37;"-0,05";"0,00555556";0;None;null;null
38;"-0,05";"-0,00555556";0;None;null;null
39;"-0,05";"-0,0166667";0;None;null;null
40;"-0,05";"-0,0277778";0;None;null;null
41;"-0,05";"-0,0388889";0;None;null;null
42;"-0,0388889";"-0,05";0;Fixed;null;null
43;"-0,0277778";"-0,05";0;Fixed;null;null
44;"-0,0166667";"-0,05";0;Fixed;null;null
45;"-0,00555556";"-0,05";0;Fixed;null;null
46;"0,00555556";"-0,05";0;Fixed;null;null
47;"0,0166667";"-0,05";0;Fixed;null;null
48;"0,0277778";"-0,05";0;Fixed;null;null
49;"0,0388889";"-0,05";0;Fixed;null;null
50;"-0,0380113";"-0,0251906";0;None;null;null
51;"0,0393038";"0,0251604";0;None;null;null
52;"-0,0386531";"0,0249329";0;None;null;null
53;"0,0276468";"-0,0217978";0;None;null;null
54;"0,0235108";"0,0328758";0;None;null;null
55;"-0,0230688";"-0,0331223";0;None;null;null
56;"0,0313519";"-0,0364412";0;None;null;null
57;"0,019927";"-0,0300079";0;None;null;null
58;"-0,0326175";"-0,00785034";0;None;null;null
59;"0,0378141";"0,00752309";0;None;null;null
60;"0,0376478";"-0,0134985";0;None;null;null
61;"-0,000136688";"0,0372178";0;None;null;null
62;"0,000465666";"-0,0372843";0;None;null;null
63;"-0,0399636";"0,0361984";0;None;null;null
64;"0,0394407";"0,035938";0;None;null;null
65;"-0,0391783";"-0,0358845";0;None;null;null
66;"-0,025658";"-0,0232418";0;None;null;null
67;"0,0269579";"0,0223691";0;None;null;null
68;"-0,0274497";"0,0218639";0;None;null;null
69;"0,0400327";"-0,0255056";0;None;null;null
70;"-0,0120764";"-0,0372932";0;None;null;null
71;"-0,0120054";"0,0384577";0;None;null;null
72;"0,0123615";"0,0371799";0;None;null;null
73;"0,0223417";"-0,0407273";0;None;null;null
74;"0,012159";"-0,0386441";0;None;null;null
75;"0,0375705";"-0,00265375";0;None;null;null
76;"-0,0304692";"0,0314929";0;None;null;null
77;"-0,0313971";"-0,0307542";0;None;null;null
78;"0,0317816";"0,0308068";0;None;null;null
79;"-0,0405779";"-0,00138017";0;None;null;null
80;"-0,0296948";"-0,0396119";0;None;null;null
81;"0,0299052";"0,0395398";0;None;null;null
82;"-0,0345878";"0,0138768";0;None;null;null
83;"0,0420475";"-0,0357511";0;None;null;null
84;"-0,033508";"-0,0162413";0;None;null;null
85;"0,0353117";"0,0165305";0;None;null;null
86;"-0,0193304";"0,0287518";0;None;null;null
87;"-0,0230723";"0,0400712";0;None;null;null
88;"-0,0321844";"0,0417246";0;None;null;null
89;"0,0170065";"0,0274211";0;None;null;null
90;"0,0219984";"0,0414975";0;None;null;null
91;"-0,0218168";"-0,0415968";0;None;null;null
92;"-0,0166391";"-0,0277338";0;None;null;null
0;"0,025";"1,00E-17";0;None;null;null
1;"0,0224824";"0,0109334";0;None;null;null
2;"0,0154368";"0,0196648";0;None;null;null
3;"0,00528218";"0,0244356";0;None;null;null
4;"-0,00593633";"0,024285";0;None;null;null
5;"-0,0159592";"0,0192433";0;None;null;null
6;"-0,0227679";"0,0103259";0;None;null;null
7;"-0,024991";"-0,000671205";0;None;null;null
8;"-0,0221808";"-0,0115331";0;None;null;null
9;"-0,0149033";"-0,0200722";0;None;null;null
10;"-0,00462422";"-0,0245686";0;None;null;null
11;"0,0065862";"-0,0241168";0;None;null;null
12;"0,0164701";"-0,0188078";0;None;null;null
13;"0,0230369";"-0,00971086";0;None;null;null
14;"0,05";"-0,05";0;Fixed;null;null
15;"0,05";"0,05";0;Force;50;"4,71238898"
16;"0,05";"-0,0388889";0;None;null;null
17;"0,05";"-0,0277778";0;None;null;null
18;"0,05";"-0,0166667";0;None;null;null
19;"0,05";"-0,00555556";0;None;null;null
20;"0,05";"0,00555556";0;None;null;null
21;"0,05";"0,0166667";0;None;null;null
22;"0,05";"0,0277778";0;None;null;null
23;"0,05";"0,0388889";0;None;null;null
24;"-0,05";"0,05";0;Force;50;"4,71238898"
25;"0,0388889";"0,05";0;Force;50;"4,71238898"
26;"0,0277778";"0,05";0;Force;50;"4,71238898"
27;"0,0166667";"0,05";0;Force;50;"4,71238898"
28;"0,00555556";"0,05";0;Force;50;"4,71238898"
29;"-0,00555556";"0,05";0;Force;50;"4,71238898"
30;"-0,0166667";"0,05";0;Force;50;"4,71238898"
