Id;NodesIds;Thickness
126;36|37|93;0,001
127;36|93|82;0,001
128;37|79|93;0,001
129;20|21|59;0,001
130;21|85|59;0,001
131;38|39|94;0,001
132;39|84|94;0,001
133;38|94|79;0,001
134;6|68|82;0,001
135;6|82|7;0,001
136;7|82|93;0,001
137;1|85|67;0,001
138;0|59|1;0,001
139;1|59|85;0,001
0;55|77|80;0,001
1;53|69|60;0,001
2;53|56|69;0,001
3;50|65|77;0,001
4;57|74|73;0,001
5;51|64|78;0,001
6;55|91|70;0,001
7;52|68|76;0,001
8;54|90|72;0,001
9;56|83|69;0,001
10;52|76|63;0,001
11;51|67|85;0,001
12;53|57|56;0,001
13;55|80|91;0,001
14;52|82|68;0,001
15;54|81|90;0,001
16;24|34|32;0,001
17;56|57|73;0,001
18;54|78|81;0,001
19;50|77|66;0,001
20;55|66|77;0,001
21;51|78|67;0,001
22;54|67|78;0,001
23;68|86|76;0,001
24;65|80|77;0,001
25;64|81|78;0,001
26;86|87|76;0,001
27;50|66|84;0,001
28;15|25|23;0,001
29;86|71|87;0,001
30;76|87|88;0,001
31;63|76|88;0,001
32;33|42|41;0,001
33;54|89|67;0,001
34;54|72|89;0,001
35;55|92|66;0,001
36;55|70|92;0,001
37;58|79|94;0,001
38;58|94|84;0,001
39;39|40|50;0,001
40;21|22|51;0,001
41;35|36|52;0,001
42;12|53|13;0,001
43;48|49|56;0,001
44;11|57|12;0,001
45;12|57|53;0,001
46;7|58|8;0,001
47;18|19|60;0,001
48;13|53|60;0,001
49;3|61|4;0,001
50;28|29|61;0,001
51;10|62|11;0,001
52;45|46|62;0,001
53;32|34|63;0,001
54;34|35|63;0,001
55;35|52|63;0,001
56;23|25|64;0,001
57;22|64|51;0,001
58;22|23|64;0,001
59;25|81|64;0,001
60;41|42|65;0,001
61;42|80|65;0,001
62;40|65|50;0,001
63;40|41|65;0,001
64;8|66|9;0,001
65;1|67|2;0,001
66;5|68|6;0,001
67;17|18|69;0,001
68;18|60|69;0,001
69;10|70|62;0,001
70;45|62|70;0,001
71;44|45|70;0,001
72;4|61|71;0,001
73;29|71|61;0,001
74;29|30|71;0,001
75;3|72|61;0,001
76;27|28|72;0,001
77;28|61|72;0,001
78;47|48|73;0,001
79;48|56|73;0,001
80;47|73|74;0,001
81;46|74|62;0,001
82;46|47|74;0,001
83;11|74|57;0,001
84;11|62|74;0,001
85;0|75|59;0,001
86;19|75|60;0,001
87;0|13|75;0,001
88;13|60|75;0,001
89;19|20|75;0,001
90;20|59|75;0,001
91;37|38|79;0,001
92;43|80|42;0,001
93;26|81|25;0,001
94;36|82|52;0,001
95;49|83|56;0,001
96;49|16|83;0,001
97;14|16|49;0,001
98;16|17|83;0,001
99;17|69|83;0,001
100;8|58|84;0,001
101;8|84|66;0,001
102;21|51|85;0,001
103;39|50|84;0,001
104;7|93|79;0,001
105;7|79|58;0,001
106;5|86|68;0,001
107;4|86|5;0,001
108;4|71|86;0,001
109;30|31|87;0,001
110;30|87|71;0,001
111;31|32|88;0,001
112;32|63|88;0,001
113;31|88|87;0,001
114;2|67|89;0,001
115;2|89|3;0,001
116;3|89|72;0,001
117;26|27|90;0,001
118;26|90|81;0,001
119;27|72|90;0,001
120;43|44|91;0,001
121;43|91|80;0,001
122;44|70|91;0,001
123;9|66|92;0,001
124;9|92|10;0,001
125;10|92|70;0,001
